71,Senegal,79.3,7.8,6.7,6,6.3,6.9,6.9,6,7.5,6.5,6.3,6.3,6,3.9,9.2,4.9,4.7,5.1
89,Serbia,75,5,6.3,7.9,4.7,6.2,6.2,6.6,4.6,5.8,6.4,8,7.3,0.9,5.9,5.8,0.7,4.2
120,Seychelles,65.1,5.5,3.6,4.8,5.2,6.9,4.9,6.3,3.8,5.5,6.1,5.7,6.8,1.7,5.9,0.5,1.2,9.5
31,Sierra Leone,90.4,8.9,7.8,6.2,7.7,8.2,8.3,7.6,8.7,6.4,5.7,7.9,7.1,3.9,9.9,5.4,10.7,4.6
157,Singapore,35.6,2.6,0.9,3,3.1,3.7,3.3,3.5,2.2,5,1.8,4,2.5,0.9,2.9,0.1,0.2,9.9
144,Slovakia,47.4,3.5,2,5.3,4.8,4.9,5.1,4.2,3.8,3.3,2.6,3.7,4.2,1.1,2.4,4,0.7,6
161,Slovenia,34,2.8,1.5,3.3,3.5,4.4,3.5,2.7,2.4,2.8,2.8,1.6,2.6,1.1,3,2.4,0.3,7.6
47,Solomon Islands,85.6,7.6,4.8,6.8,5.4,8.3,7.9,7.6,7.8,6.2,6.7,8,8.5,3.3,9.5,0.4,2.7,9.6
1,Somalia,114.9,9.8,10,9.6,8.6,8.1,9.7,9.9,9.8,9.9,10,9.8,9.8,4.5,10,7,9.8,3
115,South Africa,66.8,8.1,6.4,5.6,4,8.2,5.6,5.2,5.8,4.5,4.8,5.9,2.8,2.2,7.6,8,3.8,2
N/R,South Sudan,108.4,8.4,9.9,10,6.4,8.8,7.3,9.1,9.5,9.2,9.7,10,10,3.8,9.3,0,7.1,10
153,Spain,42.8,3.1,2.6,5.7,2.3,4.4,5,2.6,2.9,2.5,4.4,5.6,1.7,1,3.4,5.5,0.4,4.5
29,Sri Lanka,92.2,7.1,8.7,9.1,7.1,8.1,5.6,8.1,5.8,8.7,8.2,9.2,6.5,1.8,8.8,4.2,0.9,5.8
3,Sudan,109.4,8.4,9.9,10,8.3,8.8,7.3,9.5,8.5,9.4,9.7,9.9,9.5,3.5,8.3,5.7,5.3,4.3
105,Suriname,71.2,5.8,3.2,6.1,7.3,7.5,6.6,6.4,5,5.3,5.8,5.8,6.4,1.9,6.8,0.1,2.2,9.9
55,Swaziland,83.5,8.9,4.6,3.6,5.8,7,8.3,8.6,7.7,8.3,6.3,7,7.4,3.1,8.9,7.1,5.9,2.9
176,Sweden,21.3,2.6,2.6,1,1.8,1.9,1.6,0.8,1.8,1.6,2.5,1.8,1.3,1.2,1,0.8,0.3,9.2
174,Switzerland,23.3,2.4,1.8,3.2,2.2,2.6,2.2,0.9,1.7,2,1.7,1,1.7,1,1.6,3.9,0.4,6.1
46,Tajikistan,85.7,7.3,5.6,6.9,5.7,6.5,7.7,8.8,6.6,8.5,7.1,8.3,6.7,3,8.8,3.5,4.5,6.5
66,Tanzania,80.4,8.2,7.1,5.8,6.1,5.9,6.9,6.5,8.5,6.5,5.8,5.7,7.4,4.1,9.7,4.2,4.2,5.8
84,Thailand,77,8.2,6.7,7.8,4,6.9,4,6.5,4.7,7.2,7.3,8.8,4.9,1.2,7.8,4.1,1.3,5.9
28,Timor-Leste,92.7,8.4,7.7,6.8,6.1,7,8,8.5,8.4,6.3,8.3,8.3,8.9,4,10,2.5,5.3,7.5
39,Togo,87.5,8.1,6.8,5.1,6.9,7.6,7.7,8.2,8.2,7.4,7.3,7.5,6.8,3.8,9.7,6.7,5.9,3.3
94,Tunisia,74.2,5.2,4,5.6,5.2,6.3,5.5,7.8,5,8.3,7.5,7.8,6,1.9,6.3,6.5,1.5,3.5
85,Turkey,76.6,6,6.5,8.6,4.2,7.1,5.6,6.2,6,5.3,7.7,7.5,5.9,1.8,6,5.1,1.6,4.9
81,Turkmenistan,77.4,6.2,3.9,6.4,4.8,6.8,5.7,9,6.4,8.4,7.2,7.7,4.9,2.2,9.7,7.2,5,2.8
20,Uganda,96.5,8.8,8.2,7.7,6.9,8.1,7.5,8,8.6,7.8,8.3,8.7,7.9,4.5,8.7,7.1,5,2.9
113,Ukraine,67.2,5,2.9,6.2,6,5.6,5.7,7.7,3.9,5.4,4.3,8,6.5,1.1,7.7,7.1,1,2.9
140,United Arab Emirates,48.9,4.1,2.8,4.3,2.7,5.1,3.9,6.4,3.1,5.9,3.2,3.6,3.8,1.2,3.2,0.5,0.7,9.5
158,United Kingdom,35.3,2.8,3,4.7,2.4,3.9,3.7,1.9,2.6,2.1,3,3.6,1.6,1.3,1.5,7.1,0.4,2.9
159,United States,34.8,3.3,2.6,3.9,1.3,5.1,3.4,2.6,2.7,3.5,1.9,3.6,1,1.3,2.8,4.5,0.6,5.5
154,Uruguay,40.5,4.1,1.8,2.7,5,4.6,3.8,2.2,3.4,2.6,4,2.7,3.7,1.5,5.4,8.2,1.1,1.8
39,Uzbekistan,87.5,7,5.7,7.7,6,7.9,7.1,8.7,5.7,9.1,8.2,8.7,5.7,2.3,8.4,6.3,4,3.7
82,Venezuela,77.3,5.7,4.5,6.7,6.1,7.2,5.9,7.9,6.3,7.7,6.7,7.3,5.2,2.1,6.3,2.4,1.4,7.6
96,Vietnam,74,6.1,4.4,6,6,5.9,6.1,7.5,6.1,7.4,5.7,6.9,5.9,1.7,6.9,3.5,2,6.5
8,Yemen,104.8,8.8,8.7,9,7,8.4,8.7,9.1,9,8.4,9.7,9.8,8.3,3.5,8.8,4.5,4.2,5.5
44,Zambia,85.9,9.1,7.3,6.3,7.1,7.7,8.1,8,7.7,6.4,5.3,6,7,4.2,9,3.2,5.3,6.8
5,Zimbabwe,106.3,9,8.4,8.7,9,8.9,8.9,9.4,9.1,8.9,8.7,9.8,7.5,3.6,9.4,4.2,5.6,5.8
